#######################################
filename, sn name, jd, wmin, wmax, flag
1992H_19920227.fits,1992H,2448679.5,5160.0,7583.13,1
1992H_19920309.fits,1992H,2448690.5,3111.66,5801.0,1
1992H_19920329.fits,1992H,2448710.5,3820.0,7597.0,1
1992H_19920527.fits,1992H,2448769.5,4504.0,8800.0,1
1992H_19920606a.fits,1992H,2448779.5,4500.0,8820.0,1
1992H_19920606b.fits,1992H,2448779.5,4503.0,8820.0,1
1992H_19920606c.fits,1992H,2448779.5,4503.0,8820.0,1
1992H_19920623.fits,1992H,2448796.5,4210.0,7780.0,1
1992H_19920629.fits,1992H,2448802.5,3860.0,9250.0,1
1992H_19920702a.fits,1992H,2448807.5,4283.87,7786.0,1
1992H_19920702b.fits,1992H,2448807.5,4291.81,7780.0,1
1992H_19921105.fits,1992H,2448932.5,4705.0,9204.0,1
1992H_19921220a.fits,1992H,2448977.5,4773.0,9151.0,1
1992H_19921220b.fits,1992H,2448977.5,4772.0,8975.68,1
1992H_19921220c.fits,1992H,2448977.5,4771.0,9149.0,1
1992H_19921220d.fits,1992H,2448977.5,4772.0,9150.0,1
1992H_19921220e.fits,1992H,2448977.5,4770.0,9148.0,1
1992H_19921220f.fits,1992H,2448977.5,4770.0,9148.0,1
1992H_19921220g.fits,1992H,2448977.5,4771.0,9149.0,1
1992H_19921220h.fits,1992H,2448977.5,4770.0,9151.0,1
1992H_19921221.fits,1992H,2448978.5,5921.0,9070.47,1
1992H_19930115.fits,1992H,2449003.5,6153.0,7723.0,1
1992H_19930320a.fits,1992H,2449066.5,4854.0,9299.0,1
1992H_19930320b.fits,1992H,2449066.5,4854.0,9299.0,1
1992H_19930320c.fits,1992H,2449066.5,4949.88,9300.0,1
1992H_19930320d.fits,1992H,2449066.5,4854.0,9299.0,1
1992K_19920407.fits,1992K,2448719.823,3746.9,9111.0,2
1993H_19930321.fits,1993H,2449067.712,5827.73,9159.25,1
1993H_19930323.fits,1993H,2449069.639,3188.09,7694.82,1
1993H_19930426.fits,1993H,2449103.819,3712.61,9864.42,1
1993H_19930516.fits,1993H,2449123.663,3700.0,6790.0,1
1993H_19940510.fits,1993H,2449482.727,3697.5,6886.94,3
1993J_19930330.fits,1993J,2449077.003,3890.82,5508.68,1
1993J_19930331a.fits,1993J,2449078.354,3635.73,9471.96,1
1993J_19930331b.fits,1993J,2449077.5,3361.29,10399.0,1
1993J_19930401b.fits,1993J,2449079.354,3722.08,7578.0,1
1993J_19930407.fits,1993J,2449084.552,3918.86,7046.0,1
1993J_19930415a.fits,1993J,2449092.625,3649.63,9485.86,1
1993J_19930415b.fits,1993J,2449093.438,3635.73,9154.0,1
1993J_19930415.fits,1993J,2449093.003,3910.92,7396.77,1
1993J_19930418.fits,1993J,2449096.438,3622.83,7850.0,1
1993J_19930420a.fits,1993J,2449098.003,3801.49,7401.49,1
1993J_19930420.fits,1993J,2449098.375,3691.32,9278.0,1
1993J_19930421.fits,1993J,2449098.75,3677.42,9263.0,1
1993J_19930422a.fits,1993J,2449100.003,3578.41,7169.48,1
1993J_19930422.fits,1993J,2449099.521,5974.0,6969.0,1
1993J_19930423.fits,1993J,2449100.5,3580.15,9305.21,1
1993J_19930424.fits,1993J,2449102.003,3763.77,11249.14,1
1993J_19930504.fits,1993J,2449111.542,3890.0,7088.0,1
