1998S 	        50869.2 0.05  50889.2 0.05 50869.2 0.02 50869.2 0.05 50869.2 0.05 50869.2 0.05 50869.2 0.05 50869.2 0.05 50869.2 0.05 50869.2 0.05
 IIn               9999 .00  9999  .00     12.2  .00 9999  .00   9999 .0 9999 .0 9999 .0 9999 .0 9999 .0 9999 .0 9999 .0
 fit=                                               
 ????          ABg= 0.86 .00 ABi= 0.09 .00  mu= 31.18 0.0 (none)         
UBVRIJHKLM _______________________________________________________________________________________
 Date       JD     U          B          V         R           I      J          H       K        L     M      S note
 30/05/00  51696.2     9999 0      9999 0        9999 0        9999 0	   9999 0     9999 0	  9999 0     9999 0	 9999 0	    11.9  0    -6 Pozzo et al. 2004
 01/10/00  51818.03    9999  0     9999 0        9999 0        9999 0     21.50 0.03  9999 0      9999 0      9999 0     9999 0      9999 0    5 Li et. al 2001 filt.F814W 
 07/01/01  51916.8     9999 0      9999 0        9999 0        9999 0	   9999 0    19.28 0.48	 17.96 0.27 15.84 0.07	12.99 0.39  12.84 0.15 6 Pozzo et al. 2004
 05/06/01  52067.0     9999 0      9999 0        9999 0        9999 0	   9999 0    19.80 0.83	 18.44 0.77 16.37 0.13	13.29 0.03   9999 0    6 Pozzo et al. 2004
 19/07/01  52111.5     9999 0      9999 0        9999 0        9999 0	   9999 0     9999 0      9999 0    16.52 0.02	13.40 0.15   9999 0    6 Pozzo et al. 2004
 16/03/01  51984.16    9999  0     9999 0       24.08 0.06     9999 0      9999 0     9999 0      9999 0      9999 0     9999 0      9999 0    5 Li et. al 2001 filt.F555W
#---------------------------------------------------------------------------------------------------------------------------------------
# corrected JD in Gerardy et al.q
#9.91/3/98  50882.41    9999 0    9999 0       12.5  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6835,visual
#7.69/3/98 50880.19    9999 0    9999 0       12.6  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6835,visual
#10.18/3   50882.68    9999 0    9999 0       12.8  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6835,visual
#11.79/3    50884.29   9999 0    9999 0       12.0  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6838,visual
#11.83/3    50884.33   9999 0    9999 0       12.0  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6838,visual
#11.83/3   50884.33    9999 0    9999 0       12.3  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6838,visual
#12.75/3   50885.25    9999 0    9999 0       12.5  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6838,visual
#13.22/3   50885.72   9999 0    9999 0       12.2  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6841,visual
#14.80/3   50887.30   9999 0    9999 0       12.1  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6841,visual
#15.9/3    50888.4     9999 0    9999 0       12.1  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6843,visual
#16.85/3   50889.35    9999 0    9999 0       12.2  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6843,visual
#16.93/3   50889.43    9999 0    9999 0       11.8  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6843,visual
#17.15/3   50889.65    9999 0    9999 0       12.0  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6843,visual
#17.8/3	   50890.3     9999 0    9999 0       12.1  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6843,visual
#23.39/3    50895.89    9999 0    9999 0       12.0  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6852,visual
#24.09/3    50896.59    9999 0    9999 0       11.8  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6852,visual
#24.8/3     50897.3     9999 0    9999 0       12.0  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6852,visual
#24.98/3    50897.48    9999 0    9999 0       11.7  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6852,visual
#25.10/3    50897.6     9999 0    9999 0       11.7  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6852,visual
#25.32/3    50897.82    9999 0    9999 0       12.0  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6852,visual
#25.88/3    50898.38    9999 0    9999 0       12.1  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6852,visual
#26.77/3    50899.27    9999 0    9999 0       12.0  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6852,visual
#26.79/3    50899.29    9999 0    9999 0       12.0  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6852,visual
#26.95/3    50899.45    9999 0    9999 0       11.9  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6852,visual
#28.65/3    50901.15    9999 0    9999 0       12.4  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6865,visual
#30.98/3    50903.48    9999 0    9999 0       12.5  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6865,visual
#01.17/4    50903.67    9999 0    9999 0       12.5  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6865,visual
#02.82/4    50905.32    9999 0    9999 0       12.7  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6865,visual
#03.97/4    50906.47    9999 0    9999 0       12.8  0        9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   8 IAUC 6865,visual
