 1994D           49430.5  0. 49432.5 0. 49434.5 0. 49434.5 0.  49428.5 0.
 Ia               11.30 .00 11.84 .00   11.90 .00  11.86 .00   12.15 .00   
 fit=     -0.54  0.02 0 0            
 NGC4526   ABg= 0.  .00 ABi= 0. .00  mu= 30.92 .00  (SBF Patat, altri 30.86)
UBVRI ___________________________________________________________________
 Date       JD     U          B          V         R           I            S note
16/3/94  49426.87  9999 .00 12.09 .00 12.15 .00 12.12 .00 12.14  .00   5 NURO
18/3/94  49429.77  9999 .00 11.97 .00 12.02 .00 12.01 .00 12.11  .00   5 NURO
22/3/94  49433.75  9999 .00 11.89 .00 11.91 .00 11.97 .00 12.23  .00   5 NURO
23/3/94  49434.75  9999 .00 11.93 .00 11.94 .00 11.98 .00 12.25  .00   5 NURO
24/3/94  49435.78  9999 .00 11.98 .00 11.95 .00 12.01 .00 12.30  .00   5 NURO
28/3/94  49439.82  9999 .00 12.25 .00 12.15 .00 12.33 .00 12.63  .00   5 NURO
29/3/94  49440.75  9999 .00 12.34 .00 12.21 .00  9999 .00  9999  .00   5 NURO 
10.08/3  49421.58  9999 .00  9999 .00 13.69 .04 13.54 .06 13.42  .08   7 INT
10.16/3  49421.66 13.42 .01 13.64 .01 13.71 .01 13.54 .01 13.62  .03   7 JKT
11.16/3  49422.66  9999 .00  9999 .00 13.23 .02 13.07 .04 12.98  .05   7 INT
11.18/3  49422.68 12.80 .01 13.23 .01 13.27 .01 13.14 .01 13.16  .02   7 JKT
12.14/3  49423.64 12.47 .01 12.94 .02 12.94 .01 12.76 .03 12.70  .03   7 JKT
12.17/3  49423.67  9999 .00  9999 .00 12.82 .01 12.52 .02 12.28  .03   7 INT
14.12/3  49425.62  9999 .00  9999 .00 12.45 .01 12.27 .02 12.14  .03   7 INT
15.11/3  49426.61 11.69 .01 12.27 .01 12.37 .01 12.27 .02 12.32  .01   7 JKT
15.11/3  49426.61  9999 .00  9999 .00 12.41 .01 12.26 .02 12.29  .04   7 INT
16.15/3  49427.65 11.54 .01 12.13 .01 12.27 .01 12.10 .01 12.17  .01   7 JKT
17.12/3  49428.62 11.45 .01 12.03 .01 12.15 .01 11.98 .01 12.13  .01   7 JKT
20.00/3  49431.50  9999 .00 11.85 .01 11.96 .01 11.91 .01 12.13  .02   7 INT
21.00/3  49432.50  9999 .00 11.87 .01 11.92 .01 11.87 .01 12.13  .03   7 INT
21.97/3  49433.47  9999 .00 11.87 .01 11.92 .01 11.84 .01 12.12  .03   7 INT
08.14/4  49450.64  9999 .00 13.66 .01  9999 .00  9999 .00 12.60  .01   7 JKT 
09.01/4  49451.51  9999 .00 13.77 .01  9999 .00  9999 .00 12.54  .01   7 JKT 
25.92/4  49468.42  9999 .00  9999 .00  9999 .00  9999 .00 13.42  .03   7 JKT 
26.90/4  49469.40 15.34 .06 14.97 .04 13.92 .03  9999 .00 13.45  .07   7 JKT 
07.06/5  49479.56  9999 .00  9999 .00  9999 .00 14.23 .05  9999  .00   7 INT 
14.88/5  49487.38  9999 .00 15.30 .03 14.58 .04 14.36 .06 14.21  .11   7 INT 
22.96/5  49495.46  9999 .00  9999 .00 14.64 .01  9999 .00  9999  .00   7 JKT
16.09/3  49427.59  9999 .00  9999 .00 12.16 .03  9999 .00  9999  .00   7 CAMC V-band
17.09/3  49428.59  9999 .00  9999 .00 12.09 .03  9999 .00  9999  .00   7 CAMC V-band
19.08/3  49430.58  9999 .00  9999 .00 11.85 .03  9999 .00  9999  .00   7 CAMC V-band
21.08/3  49432.58  9999 .00  9999 .00 11.85 .03  9999 .00  9999  .00   7 CAMC V-band
23.07/3  49434.57  9999 .00  9999 .00 11.86 .03  9999 .00  9999  .00   7 CAMC V-band
25.06/3  49436.56  9999 .00  9999 .00 11.84 .03  9999 .00  9999  .00   7 CAMC V-band
26.06/3  49437.56  9999 .00  9999 .00 11.85 .03  9999 .00  9999  .00   7 CAMC V-band
29.05/3  49440.55  9999 .00  9999 .00 12.08 .03  9999 .00  9999  .00   7 CAMC V-band
30.05/3  49441.55  9999 .00  9999 .00 12.30 .03  9999 .00  9999  .00   7 CAMC V-band
06.03/4  49448.53  9999 .00  9999 .00 12.66 .03  9999 .00  9999  .00   7 CAMC V-band
08.03/4  49450.53  9999 .00  9999 .00 12.89 .03  9999 .00  9999  .00   7 CAMC V-band
11.02/4  49453.52  9999 .00  9999 .00 13.12 .03  9999 .00  9999  .00   7 CAMC V-band
xxxxxxx  49430.46  9999 .00 12.18 .00  9999 .00  9999 .00  9999  .00   8 photo   
xxxxxxx  49430.49  9999 .00 12.16 .00  9999 .00  9999 .00  9999  .00   8 photo   
xxxxxxx  49431.48  9999 .00 12.00 .00  9999 .00  9999 .00  9999  .00   8 photo   
xxxxxxx  49442.27  9999 .00 12.74 .00  9999 .00  9999 .00  9999  .00   8 photo   
xxxxxxx  49444.42  9999 .00 12.96 .00  9999 .00  9999 .00  9999  .00   8 photo   
xxxxxxx  49445.50  9999 .00 13.08 .00  9999 .00  9999 .00  9999  .00   8 photo   
xxxxxxx  49453.30  9999 .00 14.00 .00  9999 .00  9999 .00  9999  .00   8 photo   
xxxxxxx  49454.29  9999 .00 14.09 .00  9999 .00  9999 .00  9999  .00   8 photo   
xxxxxxx  49457.37  9999 .00 14.20 .00  9999 .00  9999 .00  9999  .00   8 photo   
xxxxxxx  49458.44  9999 .00 14.28 .00  9999 .00  9999 .00  9999  .00   8 photo   
xxxxxxx  49470.32  9999 .00 15.04 .00  9999 .00  9999 .00  9999  .00   8 photo   
#xxxxxxx  49470.32  9999 .00  9999 .00 14.44 .00  9999 .00  9999  .00   8 photo   
xxxxxxx  49496.32  9999 .00 15.67 .00  9999 .00  9999 .00  9999  .00   8 photo   
10.2/3  49421.7   13.22 .00 13.62 .00 13.66 .00  9999 .00 13.62  .00   9 Walker 1994
10.16/3 49421.66  13.4  .0  13.7  .0  13.7  .00 13.6  .00 13.7   .00  10 Shanks et al. 94
11.08/3 49422.58   9999 .00 13.43 .00 13.48 .00 13.33 .00 13.44  .00  12 Heraudeau et al. 94
11.17/3 49422.67  12.8  .0  13.3  .0  13.3  .00 13.2  .00 13.2   .00  10 Shanks et al. 94 
11.70/3 49423.20  12.61 .00 13.01 .00 13.00 .00  9999 .00  9999  .00  11
12.66/3 49424.16  12.22 .00 12.76 .00 12.75 .00 12.61 .00 12.64  .00  11
12.77/3 49424.27  12.23 .00 12.71 .00 12.67 .00  9999 .00  9999  .00  11
13.05/3 49424.55   9999 .00 12.71 .00 12.80 .00 12.53 .00 12.59  .00  12 Heraudeau et al. 94
14.04/3 49425.55   9999 .00 12.49 .00 12.53 .00 12.28 .00 12.37  .00  12 Heraudeau et al. 94   
14.67/3 49426.17  11.78 .00 12.30 .00 12.31 .00 12.16 .00 12.20  .00  11      
# ___________________________________________________________________________________
# 1=ESO Patat et al. 1996
# 2=Asiago 182+CCD                                                  
# 4=NFO 0.5m (Neely) in Patat et al. 1996  
# 5 Richmond et al. (1995), AJ 109, 2121  
# 6 S. D. Van Dyk et al., 1999, AJ, 118, 2331
# 7 W. P. S. Meikle et al., 1996, MNRAS, 281, 263  (anche punti IR!!!)
# 8 D. Y. Tsvetkov & N. N. Pavlyuk, 1995, AstL, 21, 606 (magnit. fotografiche)
# 9 Walker 1994, 1994 IAUC 5950
# 10 T. Shanks, S. M. Croom & N. R. Tanvir 1994, IAUC, 5951  
# 11 Wu, H.; Yan, H.-J.; Zou, Z.-L., 1995 A&A 294, 9 (molti altri dati disponibili in this paper!!!!)
# 12 P. Heraudeau, P. Prugniel, and J. Taupenas, 1994, IAUC 5952 
# 20 - altavilla et al. 2004
# Galactic Extinction (Schlegel et al.):   A_B = 0.096 mag; 
# A_i= 0.0 NED
#Hoflich 95 apj443,89
#                             fase   mag
# source 0  correzioni in B  -0.17 -0.01, beta 0.134 gamma 0.016, t2 28.14, dm60 3.58, dm15 1.37
# source 5  correzioni in B   0.34  0.09, beta 0.130 gamma 0.019, t2 28.09, dm60 3.66, dm15 1.39 
# valori medi                 0.08  0.04,      0.132       0.017     28.11       3.62       1.38 
#
#nel vecchio file:  fit= 49432.5 0.0  9999 .00 11.84 .00
#
#### updated by APas 24/6/2003
# EC deve verificare la calibrazione
