 1991T  Iapec
 NGC4527  ABg= 0.02 .00  ABi= 0.55 .00 mu= 30.74 .00  (xx) xxx
_________________________________________________________________________________
UBVRI  JD_MAX   48375.0 .0    48375.32 .0   48377.8 .0  48377  .0   48376  .0
	m_max   9999  .00    11.66  .00     11.51  .00  11.46   .00   11.67  .00     
  Date       JD       U           B           V           R           I        Source  note
 xxxxxxx  48355.    9999  .0   30.0   .0   30.0   .0   30.0   .0    9999  .0  111           # hard limit
 xxxx  48550.    9999  .00  16.44  .0   16.30  .0   16.52  .00   9999  .0     111    # hard limit
#
    0    48440.46  9999  .00  14.917 .016 14.058 .016 13.872 .015 13.790 .017   2 xx
    0    48442.48 15.265 .026 14.888 .016 14.045 .016 13.888 .015 13.778 .017   2 xx
    0    48445.46  9999  .00   9999  .00  14.139 .016  9999  .00   9999  .00    2 xx
    0    48445.47  9999  .00  14.934 .017 14.143 .016  9999  .00   9999  .00    2 xx
    0    48459.49  9999  .00  15.115 .016 14.476 .016 14.407 .015 14.538 .017   2 xx
  0    48628.83  9999  .00  17.496 .019 17.484 .018  9999  .00  17.939 .040   2 xx
    0    48629.83  9999  .00  17.513 .018 17.475 .018  9999  .00  17.951 .046   2 xx
    0    48677.78  9999  .00   9999  .00  18.116 .022  9999  .00  18.367 .045   2 xx
    0    48687.85  9999  .00   9999  .00  18.343 .017 19.086 .022 18.489 .026   2 xx
    0    48691.78  9999  .00  18.445 .018 18.357 .019 19.080 .025 18.489 .031   2 xx
    0    48720.77  9999  .00  18.834 .023 18.765 .022  9999  .00  18.952 .034   2 xx
    0    48731.63  9999  .00  18.916 .078 18.947 .047  9999  .00   9999  .00    2 xx
    0    48731.62  9999  .00   9999  .00  19.010 .052  9999  .00   9999  .00    2 xx
    0    48776.53 20.346 .250 19.654 .078 19.662 .057 20.271 .102 19.374 .119   2 xx
    0    48776.54  9999  .00  19.773 .097 19.684 .063 20.162 .097 19.359 .113   2 xx
 07/12/96 50424.50  9999  .00  9999   .00  21.9   .00  9999   .00  9999   .00    3 Sparks et al. 1999 
 22/12/96 50439.50 21.16  .00  9999   .00  9999   .00  9999   .00  9999   .00    3 Sparks et al. 1999 
 28/12/97 50810.50 21.28  .00  9999   .00  9999   .00  9999   .00  9999   .00    3 Sparks et al. 1999 
 22/05/98 50955.50 21.46  .00  9999   .00  9999   .00  9999   .00  9999   .00    3 Sparks et al. 1999 
 07/12/91 48597.8   9999  .00  17.20  .03   17.13 .03   17.65 .05   17.34 .08    5 xx
 08/03/92 48688.8   9999  .00  9999   .00   18.35 .03   19.05 .05   18.43 .05    5 xx
 30/04/92 48742.8   9999  .00  19.00  .03   19.05 .03   19.64 .08   18.81 .09    5 xx
 03/06/92 48776.8   9999  .00  19.43  .03   19.49 .03   20.03 .08   19.08 .12    5 xx
 26/01/92 49013.8   9999  .00  21.01  .05   21.01 .06   21.41 .18   9999  .00    5 xx
 26/01/92 49013.8   9999  .00   9999  .00   9999  .00   9999  .00   21.1  .00   -5 xx
 21/03/93 49067.9   9999  .00  21.20  .08  9999   .00  9999   .00  9999   .00    5 xx
 25/05/93 49132.8   9999  .00  21.28  .07  9999   .00  9999   .00  9999   .00    5 xx
 10/12/93 49332.0   9999  .00  21.30  .15   21.43 .15  9999   .00  9999   .00    5 xx
_________________________________________________________________________________
JHK     JD_max  48375.9  2.0    48375.0  2.0    48375.9  2.0
       m_max    11.79   0.0     11.59   0.0     11.51   0.0
  Date          JD              J               H                   K           S       Inst
 1991/Apr17	48364.46	11.73  0.0	11.16 0.0	10.93 0.0	1	krisiunas
 1991/May4	48380.75	12.45  0.09	12.44 0.10	12.28 0.10	2	krisiunas
 1991/May5	48381.80	12.58  0.10	12.29 0.10	12.19 0.10	2	krisiunas
 1991/Jun22	48429.86	14.97  0.30	13.72 0.14	13.71 0.25	2	krisiunas
#_____________________________________________________
# 1 - Cappellaro et al. (1997)  A&A 328, 203  
# 1,0 - altavilla et al 2004                                                 
# 2 - Lira et al. (1998) AJ 115, 234
# 3 - Sparks et al. (1999) ApJ 523, 585
# 4 - variuos IAUC
# 5 - Schmidt et al. 1994ApJ...434L..19S
# Galactic Extinction (Schlegel et al.):   A_B = 0.095
# revised EC 24/06/03 
