  2009jf Ib
  NGC7479   ABg= 0.460 0.0 ABi= 0.2  0.2  mu= 32.65 0.10 jd_expl= 55099.5 (ABg=Schlegel,mu=Tully,vel=2462 32.65pm.06)
______________________________________________________________________
UBVRI   JD_MAX  55116.  2.0   55119.4  2.0   55122.0  2.0   55123.9  2.  55124.8  2.0
     m_max    15.70   0.0    15.60   0.0    15.00   0.0    14.83   0.0    14.59   0.0
  Date        JD             U              B               V             R                 I         S    Inst  
# 2009-11-04  55139.56480    17.45  0.08  16.915 0.04    15.80  0.05      9999  0.0       9999  0.0    10    xx    
# 2009-11-04  55139.570      17.403 0.08  16.915 0.04    15.80  0.05      9999  0.0       9999  0.0    10    xx_man    
# 2009-11-07  55142.63760    17.54  0.08  17.21  0.06    9999   0.0       9999  0.0       9999  0.0    10    xx    
##########################################   swift after color correction   #######################################
## 2009-09-30      55104.679      17.428    0.08  9999    0.05  9999    0.07   9999  0.0       9999  0.0    13    xx    
## 2009-10-01      55105.546      17.243    0.07  9999    0.05  9999    0.07   9999  0.0       9999  0.0    13    xx    
## 2009-10-04      55108.968      16.437    0.05  9999    0.03  9999    0.05   9999  0.0       9999  0.0    13    xx    
## 2009-10-06      55111.309      16.031    0.04  9999    0.03  9999    0.04   9999  0.0       9999  0.0    13    xx    
## 2009-10-08      55113.258      15.940    0.04  9999    0.03  9999    0.04   9999  0.0       9999  0.0    13    xx    
## 2009-10-10      55115.140      15.838    0.04  9999    0.03  9999    0.04   9999  0.0       9999  0.0    13    xx    
## 2009-10-12      55117.210      15.829    0.04  9999    0.03  9999    0.04   9999  0.0       9999  0.0    13    xx    
## 2009-10-14      55119.153      15.785    0.04  9999    0.03  9999    0.03   9999  0.0       9999  0.0    13    xx    
## 2009-10-16      55120.539      15.852    0.04  9999    0.03  9999    0.04   9999  0.0       9999  0.0    13    xx    
## 2009-10-18      55122.824      15.937    0.04  9999    0.03  9999    0.04   9999  0.0       9999  0.0    13    xx    
## 2009-10-20      55124.555      16.124    0.04  9999    0.03  9999    0.04   9999  0.0       9999  0.0    13    xx    
## 2009-11-01      55137.146      17.176    0.07  9999    0.04  9999    0.05   9999  0.0       9999  0.0    13    xx    
## 2009-11-04      55139.564      17.416    0.08  9999    0.04  9999    0.05   9999  0.0       9999  0.0    13    xx    
## 2009-11-07      55142.637       17.54    0.08  9999    0.06  9999     0.0   9999  0.0       9999  0.0    13    xx    
_____________________________________________________________________________________________________
ASD     JD_MAX    55116.  2.0    55118.  2.0    55120.  2.0   
         m_max    15.70   0.0    15.60   0.0    15.00   0.0    
  Date           JD            A            S            D          S    note
 2008-01-22  54488.353      18.32  0.07  9999   0.0   9999   0.0     -10    xx 
 2008-04-27  54583.959      18.23  0.05  9999   0.0   9999   0.0     -10    xx
 2008-06-28  54645.998      9999   0.0   18.06  0.03  9999   0.0     -10    xx
 2009-09-30  55104.679      17.68  0.07  17.94  0.06  18.03  0.07     10    xx
 2009-10-01  55105.54685    17.97  0.09  17.92  0.07  18.02  0.07     10    xx    
 2009-10-04  55108.96816    17.62  0.07  17.75  0.06  17.90  0.06     10    xx    
 2009-10-06  55111.30935    17.38  0.06  17.85  0.06  18.04  0.07     10    xx    
 2009-10-08  55113.25863    17.37  0.06  17.88  0.06  18.02  0.08     10    xx    
 2009-10-10  55115.14052    17.20  0.05  17.73  0.06  17.85  0.07     10    xx    
 2009-10-12  55117.21002    17.27  0.06  17.76  0.07  18.02  0.08     10    xx    
 2009-10-14  55119.15351    17.19  0.05  17.70  0.05  18.00  0.06     10    xx    
 2009-10-16  55120.53931    17.24  0.06  17.81  0.06  17.97  0.07     10    xx    
