 1987A    IIP jd_expl= 46849.8
 LMC    ABg= 0.79 .00 ABi= 0.00 .00 mu= 18.49 .00
____________________________________________________________________________
UBVRI  JD_max  46849.69 .00 46951.69 .00 46849.69 .00  46829.69 .00 46829.69 .00
       m_max        9999 .00  9999 .00  9999 .00   9999 .00  9999 .00
  Date       JD         U        B         V         R         I        S       notes             
  xxxxx    46849.      .00 .00  30.  .00  30.  .00  30.  .00  9999 .00  111      
#
   362.    47162.58   8.72 .00  7.36 .00  6.15 .00  4.99 .00  4.49 .00  1        
   363.    47163.37   8.73 .00  7.38 .00  6.16 .00  5.02 .00  4.50 .00  1        
   364.    47164.39   8.73 .00  7.38 .00  6.17 .00  5.03 .00  4.51 .00  1        
   365.    47165.39   8.74 .00  7.39 .00  6.18 .00  5.04 .00  4.54 .00  1        
   366.    47166.39   8.74 .00  7.40 .00  6.18 .00  5.05 .00  4.54 .00  1        
   367.    47167.44   8.75 .00  7.40 .00  6.20 .00  5.05 .00  4.56 .00  1        
   368.    47168.37   8.75 .00  7.41 .00  6.20 .00  5.07 .00  4.56 .00  1        
   369.    47169.49   8.75 .00  7.41 .00  6.21 .00  5.08 .00  4.57 .00  1        
   370.    47170.21   8.76 .00  7.42 .00  6.23 .00  5.10 .00  4.58 .00  1        
   371.    47171.29   8.75 .00  7.42 .00  6.23 .00  5.09 .00  4.58 .00  1        
   372.    47172.40   8.75 .00  7.43 .00  6.24 .00  5.10 .00  4.59 .00  1        
   373.    47173.38   8.75 .00  7.44 .00  6.26 .00  5.12 .00  4.62 .00  1        
   374.    47174.40   8.76 .00  7.45 .00  6.27 .00  5.13 .00  4.63 .00  1        
   375.    47175.39   8.76 .00  7.46 .00  6.28 .00  5.14 .00  4.65 .00  1        
   376.    47176.29   8.77 .00  7.47 .00  6.28 .00  5.16 .00  4.65 .00  1        
   377.    47177.32   8.77 .00  7.47 .00  6.29 .00  5.17 .00  4.67 .00  1        
   378.    47178.37   8.79 .00  7.49 .00  6.30 .00  5.17 .00  4.67 .00  1        
   382.    47182.44   8.80 .00  7.51 .00  6.34 .00  5.23 .00  4.73 .00  1        
   383.    47183.45   8.79 .00  7.51 .00  6.35 .00  5.22 .00  4.73 .00  1        
   385.    47185.46   8.80 .00  7.53 .00  6.37 .00  5.25 .00  4.76 .00  1        
   386.    47186.46   8.80 .00  7.54 .00  6.38 .00  5.26 .00  4.77 .00  1        
   387.    47187.32   8.78 .00  7.54 .00  6.39 .00  5.27 .00  4.78 .00  1        
   388.    47188.31   8.79 .00  7.55 .00  6.40 .00  5.28 .00  4.81 .00  1        
   389.    47189.31   8.79 .00  7.55 .00  6.41 .00  5.30 .00  4.81 .00  1        
   391.    47191.29   8.79 .00  7.56 .00  6.42 .00  5.31 .00  4.83 .00  1        
   392.    47192.37   8.79 .00  7.57 .00  6.44 .00  5.32 .00  4.84 .00  1        
   393.    47193.32   8.80 .00  7.58 .00  6.44 .00  5.33 .00  4.85 .00  1        
   394.    47194.28   8.79 .00  7.59 .00  6.46 .00  5.34 .00  4.87 .00  1        
   395.    47195.30   8.81 .00  7.59 .00  6.46 .00  5.35 .00  4.88 .00  1        
   396.    47196.29   8.80 .00  7.60 .00  6.47 .00  5.37 .00  4.90 .00  1        
